title,rating,domain,city,state,established,course_name,course_duration_years,course_fee_inr,location,course_duration,course_fee,course_seats,rating_raw
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech Electrical Engineering,4.0,874000.0,"Chennai, Tamil Nadu",4 Years,₹8.74 L,154.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech Mechanical Engineering,4.0,874000.0,"Chennai, Tamil Nadu",4 Years,₹8.74 L,144.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech Civil Engineering,4.0,874000.0,"Chennai, Tamil Nadu",4 Years,₹8.74 L,117.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech Chemical Engineering,4.0,874000.0,"Chennai, Tamil Nadu",4 Years,₹8.74 L,111.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,MBA,2.0,1222000.0,"Chennai, Tamil Nadu",2 Years,₹12.22 L,96.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech Computer Science and Engineering,4.0,874000.0,"Chennai, Tamil Nadu",4 Years,₹8.74 L,87.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech Naval Architecture and Ocean Engineering,4.0,874000.0,"Chennai, Tamil Nadu",4 Years,₹8.74 L,78.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech and M.Tech Engineering Design,5.0,1089000.0,"Chennai, Tamil Nadu",5 Years,₹10.89 L,74.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,M.Sc Chemistry,2.0,152000.0,"Chennai, Tamil Nadu",2 Years,₹1.52 L,67.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,M.Tech Aerospace Engineering,2.0,152000.0,"Chennai, Tamil Nadu",2 Years,₹1.52 L,55.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech Aerospace Engineering,4.0,874000.0,"Chennai, Tamil Nadu",4 Years,₹8.74 L,55.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech Metallurgical and Materials Engineering,4.0,874000.0,"Chennai, Tamil Nadu",4 Years,₹8.74 L,54.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,M.Sc Physics,2.0,152000.0,"Chennai, Tamil Nadu",2 Years,₹1.52 L,54.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech and M.Tech Electrical Engineering Dual Degree,5.0,1089000.0,"Chennai, Tamil Nadu",5 Years,₹10.89 L,53.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech Artificial Intelligence and Data Analytics,4.0,874000.0,"Chennai, Tamil Nadu",4 Years,₹8.74 L,50.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,M.Tech Chemical Engineering,2.0,152000.0,"Chennai, Tamil Nadu",2 Years,₹1.52 L,50.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,M.Sc Mathematics,2.0,152000.0,"Chennai, Tamil Nadu",2 Years,₹1.52 L,49.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,M.Tech Computer Science and Engineering,2.0,152000.0,"Chennai, Tamil Nadu",2 Years,₹1.52 L,47.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,M.Tech Thermal Engineering,2.0,152000.0,"Chennai, Tamil Nadu",2 Years,₹1.52 L,44.0,4.7/5
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,Engineering,Chennai,Tamil Nadu,1959,B.Tech and M.Tech Biological Engineering Dual Degree,5.0,1089000.0,"Chennai, Tamil Nadu",5 Years,₹10.89 L,43.0,4.7/5
IIT Delhi - Indian Institute of Technology Delhi,4.6,Engineering,New Delhi,Delhi,1961,B.Tech Electrical Engineering,4.0,855000.0,"New Delhi, Delhi",4 Years,₹8.55 L,120.0,4.6/5
IIT Delhi - Indian Institute of Technology Delhi,4.6,Engineering,New Delhi,Delhi,1961,B.Tech Civil Engineering,4.0,855000.0,"New Delhi, Delhi",4 Years,₹8.55 L,110.0,4.6/5
